snr_db,semantic_token_acc,semantic_exact_acc,edit_distance,bleu_score
-5.0,0.11157531756907701,0.0,0.7513641357421875,0.21826848397301285
-2.0,0.12485351599752903,0.0,0.7292083740234375,0.2552109007015268
0.0,0.13410034216940403,0.0,0.714410400390625,0.27771086700893094
2.0,0.13625183096155524,0.0,0.7062225341796875,0.29350468365386495
5.0,0.147735595703125,0.0,0.6932281494140625,0.3121062859048481
8.0,0.15436706505715847,0.0,0.6824676513671875,0.3202445304923861
10.0,0.15469970740377903,0.0,0.6861175537109375,0.3187992006123699
12.0,0.15594177227467299,0.0,0.6811798095703125,0.3243780665534963
15.0,0.15723571740090847,0.0,0.6828369140625,0.3275500674749651
18.0,0.15823669452220201,0.0,0.6771331787109375,0.32829842361756323
20.0,0.15553588885813951,0.0,0.67730712890625,0.32862361721511046
